"epoch","hdb_early - _step","hdb_early - _step__MIN","hdb_early - _step__MAX","hdb_early - backbone_lr","hdb_early - backbone_lr__MIN","hdb_early - backbone_lr__MAX","hdb_early - transformer_lr","hdb_early - transformer_lr__MIN","hdb_early - transformer_lr__MAX","hdb_early - mIoU","hdb_early - mIoU__MIN","hdb_early - mIoU__MAX","hdb_early - loss_growsp","hdb_early - loss_growsp__MIN","hdb_early - loss_growsp__MAX","hdb_early - loss_tarl","hdb_early - loss_tarl__MIN","hdb_early - loss_tarl__MAX","hdb_early - train_loss","hdb_early - train_loss__MIN","hdb_early - train_loss__MAX"
"49","2338.0263157894738","2313","2360","0.008370137098416908","0.008293294463473901","0.00844841124840185","0.00016742635413556897","0.00016586588926947803","0.00016903733819537568","","","","402.14712142944336","402.14712142944336","402.14712142944336","79.47911739349365","79.47911739349365","79.47911739349365","441.8866801261902","441.8866801261902","441.8866801261902"
"50","2388.1428571428573","2362","2409","0.008191260875196981","0.008117456539497631","0.008282503490339602","0.00016391155317406123","0.00016242375846929036","0.00016550589075309027","13.969637157684836","13.969637157684836","13.969637157684836","402.415620803833","402.415620803833","402.415620803833","78.87261259555817","78.87261259555817","78.87261259555817","441.8519271016121","441.8519271016121","441.8519271016121"
"51","2434.296296296296","2411","2458","0.008028000520181667","0.00793893450575732","0.008113722312997597","0.00016068141189137634","0.00015877869011514642","0.00016227444625995194","","","","399.7847948074341","399.7847948074341","399.7847948074341","85.39131450653076","85.39131450653076","85.39131450653076","442.48045206069946","442.48045206069946","442.48045206069946"
"52","2483.025641025641","2459","2506","0.007837344216236245","0.007754493889320884","0.007935070565130493","0.00015720155477294017","0.00015548771019017134","0.0001586240789654648","","","","398.4530267715454","398.4530267715454","398.4530267715454","83.67493736743927","83.67493736743927","83.67493736743927","440.29049545526505","440.29049545526505","440.29049545526505"
"53","2533.3684210526317","2507","2554","0.007651859206181928","0.007564506129043983","0.007750508016029464","0.00015302123186237916","0.00015129012258087966","0.0001548505749850819","","","","398.05376529693604","398.05376529693604","398.05376529693604","82.94786584377289","82.94786584377289","82.94786584377289","439.5276982188225","439.5276982188225","439.5276982188225"
"54","2581.0833333333335","2557","2602","0.007462849143354496","0.0073735571027664405","0.007552199792156263","0.0001491098403535315","0.00014738707669983487","0.00015079745022363635","","","","397.627818107605","397.627818107605","397.627818107605","81.8214191198349","81.8214191198349","81.8214191198349","438.53852766752243","438.53852766752243","438.53852766752243"
"55","2630.8863636363635","2606","2650","0.007255058166369113","0.007169430017913008","0.007352519198248404","0.00014500290803867732","0.00014338860035826017","0.00014696610333678157","","","","397.2637186050415","397.2637186050415","397.2637186050415","80.50636100769043","80.50636100769043","80.50636100769043","437.5168991088867","437.5168991088867","437.5168991088867"
"56","2676.2083333333335","2651","2698","0.007062759575724535","0.006969526629363775","0.007152207755561579","0.00014123269633861845","0.00013930274595537972","0.00014330254819347804","","","","397.0182981491089","397.0182981491089","397.0182981491089","80.32296180725098","80.32296180725098","80.32296180725098","437.1797790527344","437.1797790527344","437.1797790527344"
"57","2727.2432432432433","2702","2746","0.006851501117948568","0.006756887092910232","0.006947562093153859","0.00013659599055810317","0.00013531647747893117","0.00013833474542440546","","","","396.93541431427","396.93541431427","396.93541431427","78.9554637670517","78.9554637670517","78.9554637670517","436.41314619779587","436.41314619779587","436.41314619779587"
"58","2770.4117647058824","2748","2794","0.006656607144557328","0.00654509879153485","0.006743469916984746","0.00013302939884627507","0.00013099277693265238","0.0001349588780821365","","","","396.73761653900146","396.73761653900146","396.73761653900146","78.40872597694397","78.40872597694397","78.40872597694397","435.94197952747345","435.94197952747345","435.94197952747345"
